OBJECTID,SHAPELEN,TRAIL_NAME,CORRIDOR_N,OWNER,OWNER2,TRAIL_STAT,TRAIL_COND,TRAIL_SURF,TRAIL_CLAS,LENGTH,WIDTH,SLOPE,SUBSEGMENT,STREET,OPEN_DATE,MAINTAIN_D,EMERGENCY,LIGHTING,ACCESSIBIL,PUBLIC_ACC,ATV,BIKE,DOG,HIKE,PACK,WCRAFTMTR,WCRAFTNMTR,COMMENTS,SEG_LENGTH,Starbucks,idk,place name,owner_2,address,address2,address3,address4,city,state,zip,country,both point,lat,lon
"9",1741.466359570940085,Chapel Hill Rd Street-Side Trail,Chapel Hill Rd Street-Side Trail,Town of Cary,,EXISTING,,CONCRETE,,0.329823170000000,10.000000000000000,,Maynard Rd to Chesterfield Dr,,,,,,NOT EVALUATED,,,,,,,,,,1741.466359580000017,Starbucks,"10158",Evans Road,Company Owned,"1904 Northwest Maynard Road
Cary, NC 27513-4997
(35.798662, -78.795089)",1904 Northwest Maynard Road,1904 Northwest Maynard Road,,Cary,NC,27513-4997,US,"(35.798662, -78.795089)",35.798662000000000,-78.795089000000004
"43",478.570540607743055,Lake Grove Blvd Street-Side Trail,Lake Grove Blvd Street-Side Trail,Town of Cary,,EXISTING,,CONCRETE,,0.090638360000000,10.000000000000000,,Downing Village GW,,,,,,NOT EVALUATED,,,YES,,YES,NO,,,,478.570540610000023,Starbucks,"9657",Grace Park,Company Owned,"3608-400 Davis Drive
Morrisville, NC 27560-8818
(35.821637, -78.847563)",3608-400 Davis Drive,3608-400 Davis Drive,,Morrisville,NC,27560-8818,US,"(35.821637, -78.847563)",35.821637000000003,-78.847562999999994
"45",33983.018452681601048,,,City of Raleigh,,EXISTING,,,,6.436177740000000,,,,,,,,,NOT EVALUATED,,,,,,,,,,33983.018452689997503,Starbucks,"8495",Village @ Falls Pointe,Company Owned,"9630 Falls of the Neuse Road, 101
Raleigh, NC 27615-2434
(35.904805, -78.601879)","9630 Falls of the Neuse Road, 101",9630 Falls of the Neuse Road,"101",Raleigh,NC,27615-2434,US,"(35.904805, -78.601879)",35.904805000000003,-78.601878999999997
"45",33983.018452681601048,,,City of Raleigh,,EXISTING,,,,6.436177740000000,,,,,,,,,NOT EVALUATED,,,,,,,,,,33983.018452689997503,Starbucks,"8214",Falls of Neuse,Company Owned,"900 Spring Forest Road, Suite 103
Raleigh, NC 27609-9122
(35.866987, -78.621966)","900 Spring Forest Road, Suite 103",900 Spring Forest Road,Suite 103,Raleigh,NC,27609-9122,US,"(35.866987, -78.621966)",35.866987000000002,-78.621966000000000
"69",237.130026432043024,Chapel Hill Road Street-Side Trail,Chapel Hill Road Street-Side Trail,Town of Cary,,EXISTING,,CONCRETE,,0.044910990000000,10.000000000000000,,Portrait Drive to NW Maynard Road,,2016/12/28 00:00:00.000,,,,NOT EVALUATED,,,YES,,YES,,,,,237.130026429999987,Starbucks,"10158",Evans Road,Company Owned,"1904 Northwest Maynard Road
Cary, NC 27513-4997
(35.798662, -78.795089)",1904 Northwest Maynard Road,1904 Northwest Maynard Road,,Cary,NC,27513-4997,US,"(35.798662, -78.795089)",35.798662000000000,-78.795089000000004
"127",1175.095638926840138,Black Creek Greenway,Black Creek Greenway,Town of Cary,,EXISTING,,ASPHALT,,0.222555990000000,10.000000000000000,,Chapel Hill Rd to Northwoods GW,,,,,,NOT EVALUATED,,,,,,,,,,1175.095638929999950,Starbucks,"10158",Evans Road,Company Owned,"1904 Northwest Maynard Road
Cary, NC 27513-4997
(35.798662, -78.795089)",1904 Northwest Maynard Road,1904 Northwest Maynard Road,,Cary,NC,27513-4997,US,"(35.798662, -78.795089)",35.798662000000000,-78.795089000000004
"195",5159.922985613020501,,,,,EXISTING,,,,0.977258140000000,,,,,,,,,NOT EVALUATED,,,,,,,,,,5159.922985619999963,Starbucks,"9840",Cary Towne Center,Company Owned,"1107 Walnut Street, Suite 102
Cary, NC 27511-4734
(35.771485, -78.762595)","1107 Walnut Street, Suite 102",1107 Walnut Street,Suite 102,Cary,NC,27511-4734,US,"(35.771485, -78.762595)",35.771484999999998,-78.762595000000005
"209",2043.612256020790028,Black Creek Greenway,Black Creek Greenway,Town of Cary,,EXISTING,,CONCRETE,,0.387047780000000,10.000000000000000,,Carousel Ln to Chapel Hill Rd,,,,,,NOT EVALUATED,,,,,,,,,,2043.612256030000026,Starbucks,"10158",Evans Road,Company Owned,"1904 Northwest Maynard Road
Cary, NC 27513-4997
(35.798662, -78.795089)",1904 Northwest Maynard Road,1904 Northwest Maynard Road,,Cary,NC,27513-4997,US,"(35.798662, -78.795089)",35.798662000000000,-78.795089000000004
"236",339.708438302079060,Martin St Connector,,City of Raleigh,,EXISTING,,ASPHALT,,0.064338720000000,5.000000000000000,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,339.708438310000020,Starbucks,"75937",Marriott Downtown Raleigh,Licensed,"500 Fayetteville St. Mall
Raleigh, NC 27601-2118
(35.774788, -78.63939)",500 Fayetteville St. Mall,500 Fayetteville St. Mall,,Raleigh,NC,27601-2118,US,"(35.774788, -78.63939)",35.774788000000001,-78.639390000000006
"292",2035.299342410220106,GLC Rd Street-Side Trail (East),GLC Rd Street-Side Trail (East),Town of Cary,,EXISTING,,ASPHALT,,0.385473360000000,9.000000000000000,,Carpenter Fire Station Road to Panther Creek GW,,,,,,NOT EVALUATED,,,,,,,,,,2035.299342410000008,Starbucks,"79699",Harris Teeter-Cary #298,Licensed,"1150 Green Level to Durham Rd
Cary, NC 27519-8341
(35.820702, -78.90107)",1150 Green Level to Durham Rd,1150 Green Level to Durham Rd,,Cary,NC,27519-8341,US,"(35.820702, -78.90107)",35.820701999999997,-78.901070000000004
