GEO_ID,NAME,S1903_C03_001E
42001,"Adams County, Pennsylvania",67715
42003,"Allegheny County, Pennsylvania",64871
42005,"Armstrong County, Pennsylvania",57636
42007,"Beaver County, Pennsylvania",60672
42011,"Berks County, Pennsylvania",67708
42013,"Blair County, Pennsylvania",51004
42017,"Bucks County, Pennsylvania",93767
42019,"Butler County, Pennsylvania",72262
42021,"Cambria County, Pennsylvania",49076
42025,"Carbon County, Pennsylvania",61111
42027,"Centre County, Pennsylvania",60706
42029,"Chester County, Pennsylvania",102016
42033,"Clearfield County, Pennsylvania",45643
42037,"Columbia County, Pennsylvania",54570
42039,"Crawford County, Pennsylvania",49428
42041,"Cumberland County, Pennsylvania",75391
42043,"Dauphin County, Pennsylvania",60733
42045,"Delaware County, Pennsylvania",77339
42049,"Erie County, Pennsylvania",51818
42051,"Fayette County, Pennsylvania",48509
42055,"Franklin County, Pennsylvania",62484
42063,"Indiana County, Pennsylvania",51914
42069,"Lackawanna County, Pennsylvania",53826
42071,"Lancaster County, Pennsylvania",67376
42073,"Lawrence County, Pennsylvania",50547
42075,"Lebanon County, Pennsylvania",61204
42077,"Lehigh County, Pennsylvania",65667
42079,"Luzerne County, Pennsylvania",53972
42081,"Lycoming County, Pennsylvania",53881
42085,"Mercer County, Pennsylvania",54543
42089,"Monroe County, Pennsylvania",62413
42091,"Montgomery County, Pennsylvania",92302
42095,"Northampton County, Pennsylvania",74328
42097,"Northumberland County, Pennsylvania",47349
42101,"Philadelphia County, Pennsylvania",47474
42107,"Schuylkill County, Pennsylvania",56295
42111,"Somerset County, Pennsylvania",48895
42125,"Washington County, Pennsylvania",65431
42129,"Westmoreland County, Pennsylvania",59073
42133,"York County, Pennsylvania",69172
