"State","vaccinationRate","Pop"
"Alaska","74.2000","734002"
"Missouri","75.5000","6169270"
"Wyoming","76.9000","567025"
"Colorado","77.3000","5845530"
"Oklahoma","77.6000","3954820"
"Oregon","78","4301090"
"Kansas","78.5000","2910360"
"Indiana","78.6000","6745350"
"Montana","78.7000","1086760"
"Georgia","78.8000","10736100"
"Washington","78.9000","7797100"
"Louisiana","79","4645180"
"Hawaii","79.2000","1412690"
"Arkansas","79.4000","3039000"
"New Jersey","79.4000","8936570"
"South Carolina","79.4000","5210100"
"Utah","79.5000","3282120"
"South Dakota","79.8000","903027"
"Texas","79.9000","29472300"
"Nevada","80.4000","3139660"
"Ohio","80.5000","11747700"
"Wisconsin","80.7000","5851750"
"California","80.9000","39937500"
"Arizona","81","7378490"
"Michigan","81","10045000"
"Alabama","81.2000","4908620"
"Idaho","81.2000","1826160"
"Minnesota","81.4000","5700670"
"Mississippi","81.5000","2989260"
"New York","81.7000","19440500"
"West Virginia","81.8000","1778070"
"Maryland","81.9000","6083120"
"Pennsylvania","82.5000","12820900"
"Illinois","83","12659700"
"Iowa","83.5000","3179850"
"Vermont","83.5000","628061"
"Kentucky","84.3000","4499690"
"Florida","85.2000","21993000"
"North Carolina","85.3000","10611900"
"Connecticut","85.5000","3563080"
"Nebraska","85.7000","1952570"
"New Mexico","85.7000","2096640"
"North Dakota","86.1000","761723"
"Tennessee","86.7000","6897580"
"Delaware","87.2000","982895"
"Rhode Island","87.5000","1056160"
"New Hampshire","87.8000","1371250"
"Maine","88.3000","1345790"
"Virginia","92.1000","8626210"
"Massachusetts","92.6000","6976600"
